AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AGE,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others
1,1352,2,2,4,4,1,1,3,1,6871656,27,0,1,0
5,1986,3,2,5,4,0,4,3,6,12054125,30,0,1,0
6,1758,1,1,4,1,1,4,1,5,20230531,42,1,0,0
1,607,1,1,2,4,0,2,3,5,6149457,46,0,0,1
5,2139,3,2,5,4,1,3,2,5,13145488,21,0,0,1
5,1488,2,1,4,1,0,4,2,4,9049717,27,0,0,1
4,1645,2,1,4,1,0,2,1,4,7905231,26,0,1,0
3,950,1,1,3,4,1,2,3,5,10178637,26,0,0,1
3,928,1,1,3,1,1,4,3,4,12895904,4,1,0,0
4,1693,2,1,4,4,1,3,2,6,16208565,53,1,0,0
4,1873,3,2,5,2,1,1,1,5,11584406,21,0,0,1
2,721,1,1,2,1,0,2,2,5,7940194,10,0,0,1
1,1190,1,1,3,2,1,3,3,4,8437847,29,0,1,0
5,1593,2,1,4,1,0,4,2,4,9573076,17,0,0,1
3,786,1,1,2,3,1,1,3,5,9577633,12,0,0,1
3,1195,1,1,3,5,0,2,2,5,10116248,19,0,0,1
4,1824,3,2,5,4,0,3,2,3,8899572,33,0,1,0
5,1906,3,2,5,3,1,2,2,4,16851463,7,1,0,0
2,656,1,1,2,3,0,4,2,3,9151728,9,1,0,0
3,727,1,1,2,3,0,1,3,6,8735798,16,0,0,1
2,931,1,1,3,2,1,1,2,6,10323083,33,0,0,1
4,1898,3,2,5,5,1,1,1,6,17531842,38,1,0,0
6,1698,1,1,4,2,0,2,3,6,12970592,40,0,1,0
7,1926,2,1,5,5,1,3,1,6,23467870,17,1,0,0
1,1481,2,2,4,1,1,4,2,1,10564901,38,1,0,0
6,1506,1,1,4,2,0,1,1,6,11045554,33,0,1,0
3,1020,1,1,3,2,0,2,1,6,8187058,24,0,1,0
3,889,1,1,3,3,0,1,3,6,9535416,21,0,0,1
3,1015,1,1,3,2,1,4,2,4,8684907,35,0,1,0
7,1682,1,1,4,3,0,4,3,4,19464831,35,1,0,0
3,869,1,1,3,2,0,3,1,6,8532226,18,0,0,1
1,1445,2,2,4,2,0,2,1,3,6161039,24,0,1,0
6,1919,2,1,5,1,1,2,3,6,15365847,13,0,1,0
2,1243,2,2,4,4,1,2,2,2,13828056,36,1,0,0
1,857,1,1,2,4,0,1,2,3,5223945,17,0,1,0
1,1055,1,1,3,5,1,2,3,3,7658936,48,0,0,1
5,1778,3,2,5,2,0,3,3,5,11493244,8,0,0,1
1,851,1,1,2,5,0,1,2,1,4156812,41,0,0,1
3,1021,1,1,3,1,1,3,1,5,9625051,4,0,0,1
5,2203,3,2,5,3,1,3,2,5,18803694,22,1,0,0
1,613,1,1,2,2,0,3,1,3,5406870,30,1,0,0
2,738,1,1,2,1,0,3,1,3,8645177,18,1,0,0
1,1489,2,2,4,5,0,1,3,4,8591779,29,0,1,0
1,795,1,1,2,3,1,3,3,6,8860817,9,0,1,0
4,1909,3,2,5,2,1,4,3,1,10645747,33,0,0,1
3,1252,2,1,4,2,0,4,1,6,9795113,12,0,1,0
1,1077,1,1,3,3,0,1,2,6,10398168,33,1,0,0
5,1524,2,1,4,4,0,3,2,4,9187694,27,0,0,1
3,1049,1,1,3,1,1,1,3,6,10724260,11,0,1,0
4,1780,2,1,4,3,0,4,3,2,9130616,55,0,0,1
3,946,1,1,3,5,0,1,1,5,11645669,17,1,0,0
3,906,1,1,3,1,1,3,3,6,9796068,32,0,1,0
5,2344,4,2,6,3,0,2,3,6,19943173,24,1,0,0
2,929,1,1,3,5,1,2,2,4,9897563,15,0,0,1
6,1843,2,1,5,5,0,1,1,5,12730811,15,0,1,0
6,1918,2,1,5,1,1,4,3,5,22903178,35,1,0,0
5,1507,2,1,4,4,1,4,2,4,14418587,19,1,0,0
5,1499,2,1,4,2,0,4,3,4,9435528,6,0,1,0
5,1526,2,1,4,4,1,4,2,4,14491033,22,1,0,0
6,1855,2,1,5,3,1,3,2,4,22025014,10,1,0,0
1,1627,2,2,4,4,1,1,2,4,9479325,30,0,0,1
4,1846,3,2,5,3,0,4,3,6,11324174,39,0,1,0
5,2019,3,2,5,3,1,3,2,6,13634663,16,0,0,1
1,1578,2,2,4,4,1,4,3,3,10066321,13,0,0,1
4,1780,2,1,4,2,1,2,1,2,13973995,25,1,0,0
1,662,1,1,2,1,0,2,1,2,4565613,38,1,0,0
3,1005,1,1,3,2,0,3,3,5,12796413,26,1,0,0
1,839,1,1,2,1,0,2,2,2,4342430,20,0,1,0
6,1698,1,1,4,1,0,4,1,6,12011582,34,0,1,0
2,878,1,1,3,1,1,3,2,1,6685085,19,0,1,0
3,835,1,1,3,1,1,1,2,6,8696227,37,0,1,0
3,911,1,1,3,1,1,1,1,4,7710077,33,0,0,1
4,1796,2,1,4,5,1,1,1,4,9542407,50,0,1,0
1,1004,1,1,3,5,0,1,1,2,4990626,28,0,0,1
6,1694,1,1,4,4,0,2,2,5,13166035,27,0,0,1
1,1244,1,1,3,3,1,4,3,3,8342435,31,0,0,1
1,588,1,1,2,1,0,4,2,5,5990775,24,0,0,1
5,2342,4,2,6,5,1,3,2,5,13646867,7,0,1,0
4,1835,3,2,5,4,0,4,2,5,11323045,29,0,0,1
6,1977,2,1,5,1,1,4,3,5,14737593,43,0,1,0
5,1961,3,2,5,3,1,2,3,6,18792965,15,1,0,0
4,1517,2,1,4,4,1,3,1,1,7489941,12,0,1,0
5,2409,4,2,6,1,1,2,3,5,14325499,25,0,0,1
4,1864,3,2,5,1,0,1,3,4,15810287,23,1,0,0
4,1643,2,1,4,2,1,4,2,6,16425768,31,1,0,0
2,1015,1,1,3,2,1,3,1,2,11707278,8,1,0,0
6,1700,1,1,4,4,1,3,1,4,13075938,32,0,0,1
1,624,1,1,2,2,0,1,1,2,4690799,31,1,0,0
3,980,1,1,3,4,0,3,2,5,12412482,17,1,0,0
1,1003,1,1,3,3,1,2,3,4,10624770,20,1,0,0
2,1072,1,1,3,2,1,2,1,1,6905036,6,0,1,0
1,808,1,1,2,5,0,2,3,2,5004120,35,0,1,0
3,1027,1,1,3,4,0,1,2,4,7701797,21,0,1,0
1,696,1,1,2,4,0,2,3,5,6731106,11,0,1,0
4,1716,2,1,4,2,1,1,2,5,10929652,8,0,1,0
4,1878,3,2,5,2,0,4,2,2,15159786,6,1,0,0
5,1699,2,1,4,4,1,2,3,5,12027749,16,0,0,1
5,1626,2,1,4,3,0,4,2,6,10164294,24,0,1,0
5,1730,2,1,4,4,0,3,3,5,15564764,18,1,0,0
3,996,1,1,3,2,0,1,3,5,9386601,22,0,0,1
3,1277,2,1,4,5,1,4,1,6,16275974,16,1,0,0
3,906,1,1,3,4,0,2,2,4,10584531,32,1,0,0
6,1976,2,1,5,1,0,2,2,5,12779752,39,0,1,0
4,1776,2,1,4,4,1,2,2,4,10398726,21,0,1,0
1,1402,2,2,4,4,0,2,3,3,7335725,30,0,1,0
3,1160,1,1,3,5,1,4,1,4,9823528,30,0,0,1
4,1957,3,2,5,4,1,1,1,3,15989821,25,1,0,0
7,1887,2,1,5,5,0,3,1,5,21421926,20,1,0,0
4,1859,3,2,5,4,1,1,2,4,10361919,48,0,1,0
3,747,1,1,2,2,1,4,1,6,11717387,5,1,0,0
2,985,1,1,3,1,1,2,2,2,7689444,7,0,1,0
3,1024,1,1,3,4,1,4,1,4,12502508,16,1,0,0
4,1600,2,1,4,2,1,1,2,5,10940878,25,0,0,1
3,1276,2,1,4,4,0,2,2,5,10084326,36,0,0,1
3,1159,1,1,3,2,1,1,3,4,9425312,36,0,1,0
1,1024,1,1,3,3,1,2,1,2,5009668,50,0,1,0
2,1249,2,2,4,5,0,3,2,1,13236472,19,1,0,0
3,839,1,1,3,4,1,4,3,4,9435297,16,0,0,1
3,1286,2,1,4,3,0,4,1,6,9565199,34,0,1,0
5,2467,4,2,6,5,0,4,3,5,13372022,16,0,1,0
1,653,1,1,2,5,0,1,1,6,8093365,15,1,0,0
1,606,1,1,2,2,1,2,3,6,8325240,17,0,0,1
7,1837,2,1,5,5,1,1,1,5,13791106,29,0,1,0
4,1880,3,2,5,2,1,2,1,2,14216456,46,1,0,0
5,2189,3,2,5,5,1,4,3,4,19253603,23,1,0,0
4,1853,3,2,5,5,1,3,2,2,15575062,49,1,0,0
3,1057,1,1,3,4,0,4,2,5,9400896,17,0,0,1
2,723,1,1,2,2,0,1,3,6,11441627,28,1,0,0
7,1812,2,1,5,2,0,1,1,5,12922315,44,0,0,1
7,1788,1,1,4,5,1,1,1,5,14808412,17,0,0,1
4,1615,2,1,4,3,0,1,2,3,8436282,19,0,1,0
6,1755,1,1,4,5,0,3,1,5,11900953,43,0,1,0
2,1296,2,2,4,2,0,4,1,6,10338673,20,0,1,0
5,1554,2,1,4,3,1,2,2,5,10688922,6,0,1,0
6,1737,1,1,4,5,1,4,3,5,14893077,9,0,1,0
1,785,1,1,2,2,1,4,1,3,6046272,12,0,0,1
1,1678,2,2,4,1,1,2,3,2,12560595,35,1,0,0
5,2360,4,2,6,4,1,3,2,6,21005151,9,1,0,0
5,1464,2,1,4,2,1,3,2,4,9920740,28,0,0,1
5,1632,2,1,4,1,1,4,3,4,11283896,19,0,0,1
4,1755,2,1,4,3,1,1,1,2,9157147,26,0,0,1
4,1556,2,1,4,1,0,2,2,5,9768764,20,0,0,1
2,1170,1,1,3,5,0,2,3,4,9490994,36,0,1,0
2,901,1,1,3,1,0,4,3,3,7994845,37,0,0,1
1,1160,1,1,3,1,1,2,3,1,9534946,19,1,0,0
1,1570,2,2,4,2,1,3,1,1,6778606,8,0,1,0
1,1476,2,2,4,3,0,3,2,5,12239696,32,1,0,0
1,586,1,1,2,2,1,1,2,3,5674312,19,0,0,1
1,1059,1,1,3,4,1,4,2,5,8343753,33,0,1,0
7,1712,1,1,4,3,1,3,3,5,14432415,6,0,1,0
2,847,1,1,3,1,0,2,3,4,7791992,39,0,0,1
1,1192,1,1,3,2,0,3,1,3,5678812,23,0,1,0
4,1942,3,2,5,1,1,4,1,5,17120558,25,1,0,0
1,557,1,1,2,2,1,1,1,3,4988023,17,0,0,1
4,1728,2,1,4,4,1,1,3,3,15643404,19,1,0,0
4,1798,2,1,4,2,1,4,3,6,17776916,29,1,0,0
1,1497,2,2,4,1,1,4,3,1,7319928,35,0,1,0
3,1173,1,1,3,4,1,2,1,4,8483274,32,0,1,0
6,1640,1,1,4,1,1,3,1,4,18519085,36,1,0,0
5,1747,2,1,4,1,1,2,2,5,11323914,17,0,0,1
1,1342,2,2,4,3,1,1,1,3,10093152,43,1,0,0
7,2000,2,1,5,5,0,3,1,6,14127168,27,0,1,0
4,1987,3,2,5,2,0,2,3,4,11747605,11,0,0,1
1,1567,2,2,4,2,0,4,3,2,8166250,17,0,0,1
1,1188,1,1,3,1,0,4,1,6,10379212,34,1,0,0
2,737,1,1,2,2,0,3,1,1,4047163,32,0,1,0
1,785,1,1,2,5,1,2,2,2,6197930,13,0,0,1
5,2078,3,2,5,3,0,2,2,4,10278629,21,0,1,0
2,647,1,1,2,2,1,4,1,4,10024553,10,1,0,0
1,1171,1,1,3,5,1,4,1,1,6493193,16,0,0,1
5,2435,4,2,6,1,1,3,3,6,21461141,18,1,0,0
4,1805,3,2,5,5,1,4,2,5,17810855,16,1,0,0
1,1145,1,1,3,4,0,4,3,1,5857396,17,0,1,0
1,971,1,1,3,4,0,4,2,5,6974574,28,0,1,0
1,1657,2,2,4,3,1,2,3,5,10877718,39,0,0,1
4,1638,2,1,4,5,1,3,1,4,10123254,5,0,1,0
2,1284,2,2,4,4,1,1,2,5,16864527,5,1,0,0
2,1273,2,2,4,3,0,1,1,1,7779564,6,0,0,1
3,1185,1,1,3,4,1,1,3,5,10539031,20,0,1,0
7,1538,1,1,4,2,1,3,3,5,20423305,5,1,0,0
5,1929,3,2,5,4,0,4,2,4,10703027,30,0,0,1
5,1656,2,1,4,3,1,3,2,6,11466516,15,0,1,0
2,1287,2,2,4,2,1,2,3,3,15734279,15,1,0,0
7,1749,1,1,4,3,0,2,1,4,12240513,32,0,0,1
6,1585,1,1,4,2,0,4,1,5,17956422,17,1,0,0
7,1962,2,1,5,4,1,3,2,6,16497510,34,0,0,1
5,1425,2,1,4,4,0,3,2,5,9050403,14,0,1,0
1,884,1,1,2,4,1,3,2,3,8738038,26,1,0,0
3,1052,1,1,3,4,0,3,1,4,8291370,10,0,0,1
7,1756,1,1,4,1,0,2,3,5,12710342,31,0,1,0
1,523,1,1,2,3,1,4,3,6,7803840,38,0,1,0
4,1524,2,1,4,2,1,3,2,6,11672274,22,0,0,1
7,1949,2,1,5,1,1,3,1,6,15130317,43,0,0,1
3,1263,2,1,4,5,0,2,3,5,11041216,22,0,0,1
5,1917,3,2,5,2,1,4,2,5,11664534,18,0,1,0
5,1401,2,1,4,1,0,2,2,4,7928914,20,0,1,0
3,723,1,1,2,2,0,4,3,6,8965757,17,0,0,1
7,1660,1,1,4,4,0,2,2,4,18588188,37,1,0,0
3,895,1,1,3,1,1,1,3,4,8863855,5,0,1,0
6,1889,2,1,5,1,1,1,3,6,14311645,45,0,1,0
3,1199,1,1,3,5,0,3,2,4,9417077,25,0,0,1
1,782,1,1,2,5,1,4,1,3,8246582,14,1,0,0
6,1571,1,1,4,1,1,3,2,5,13399659,25,0,0,1
5,1848,3,2,5,4,1,3,2,5,16804511,24,1,0,0
3,1131,1,1,3,5,1,3,1,5,10503346,20,0,0,1
1,1062,1,1,3,5,1,4,1,1,5618545,21,0,1,0
5,1983,3,2,5,5,1,4,2,6,12866619,24,0,1,0
4,1572,2,1,4,5,0,3,3,2,8516565,20,0,1,0
6,1535,1,1,4,2,0,1,3,4,11990068,32,0,0,1
7,1818,2,1,5,4,1,2,3,6,22861680,32,1,0,0
5,1484,2,1,4,1,1,3,3,4,10298655,27,0,0,1
5,2189,3,2,5,5,0,3,3,4,12796192,15,0,0,1
3,1203,2,1,4,1,0,4,1,5,13571827,17,1,0,0
5,1610,2,1,4,1,1,4,3,6,16356891,24,1,0,0
2,863,1,1,3,3,1,2,2,1,6895848,7,0,1,0
1,985,1,1,3,1,0,4,3,5,7744750,20,0,0,1
1,1623,2,2,4,3,0,4,2,4,12439620,38,1,0,0
2,1019,1,1,3,1,0,1,3,2,6903319,29,0,1,0
1,1575,2,2,4,2,1,2,2,6,10576954,9,0,1,0
3,802,1,1,3,3,0,2,1,6,8279261,9,0,0,1
7,1846,2,1,5,4,0,3,1,4,13023948,34,0,0,1
3,759,1,1,2,5,0,4,2,5,8458953,15,0,0,1
5,2060,3,2,5,3,0,3,2,5,17069431,30,1,0,0
5,1503,2,1,4,1,1,2,3,6,11843908,19,0,0,1
4,1853,3,2,5,1,1,2,1,5,9840719,49,0,1,0
7,1739,1,1,4,5,1,2,2,5,21440036,37,1,0,0
1,766,1,1,2,2,1,2,2,6,9131987,50,1,0,0
3,857,1,1,3,3,1,4,1,5,8878226,26,0,0,1
7,1887,2,1,5,1,0,1,3,6,13584064,39,0,1,0
1,1502,2,2,4,4,0,3,1,6,8724596,7,0,1,0
4,1568,2,1,4,2,0,2,1,1,6711751,30,0,0,1
3,918,1,1,3,1,0,2,1,6,11289967,22,1,0,0
2,1289,2,2,4,4,0,4,3,4,15234515,40,1,0,0
5,1941,3,2,5,5,0,2,3,6,12998811,20,0,0,1
4,1730,2,1,4,3,1,2,1,5,11061108,23,0,0,1
4,1513,2,1,4,4,1,1,3,1,12931120,27,1,0,0
4,1762,2,1,4,2,1,2,1,4,9442995,24,0,1,0
6,1970,2,1,5,1,1,4,1,4,12924044,33,0,1,0
4,1702,2,1,4,3,0,3,1,3,12910286,45,1,0,0
4,1726,2,1,4,1,0,3,1,2,7144872,21,0,1,0
3,1243,2,1,4,2,1,3,3,5,16037480,9,1,0,0
4,1550,2,1,4,1,1,1,3,1,13129341,14,1,0,0
5,1830,3,2,5,5,1,4,3,4,17291017,14,1,0,0
1,1435,2,2,4,3,1,2,3,6,10289679,33,0,1,0
4,1729,2,1,4,1,1,1,2,4,11097459,5,0,0,1
7,1572,1,1,4,5,1,4,3,6,21730938,18,1,0,0
3,1145,1,1,3,5,1,3,3,4,14869088,16,1,0,0
3,1043,1,1,3,3,1,1,1,4,8608519,30,0,0,1
1,1332,1,1,3,4,0,3,2,6,8748929,44,0,0,1
1,608,1,1,2,2,1,1,1,3,6535181,15,1,0,0
2,676,1,1,2,1,1,3,1,3,8736484,31,1,0,0
4,1685,2,1,4,5,1,2,3,4,11637327,36,0,0,1
2,658,1,1,2,5,0,2,3,2,6357660,39,0,0,1
3,1008,1,1,3,5,0,2,2,5,9189606,32,0,0,1
6,1924,2,1,5,2,0,1,1,6,14178461,31,0,0,1
5,2112,3,2,5,5,0,3,3,4,17912656,13,1,0,0
3,917,1,1,3,4,1,3,3,4,12306099,37,1,0,0
1,1353,2,2,4,3,1,1,1,5,8942552,8,0,0,1
6,1694,1,1,4,3,1,4,2,5,14757719,20,0,0,1
6,1625,1,1,4,5,1,4,1,4,19140335,43,1,0,0
6,1882,2,1,5,4,1,4,1,5,15573762,5,0,0,1
7,1924,2,1,5,4,1,4,1,6,22986067,23,1,0,0
3,894,1,1,3,3,0,2,1,6,11317696,28,1,0,0
1,904,1,1,3,4,1,3,1,5,7213013,40,0,0,1
2,1279,2,2,4,5,0,2,3,4,10292349,34,0,1,0
4,1547,2,1,4,3,0,1,3,6,10635482,47,0,0,1
1,626,1,1,2,2,0,4,2,4,5366970,25,0,1,0
7,1673,1,1,4,1,0,3,1,6,12739823,44,0,0,1
3,1296,2,1,4,1,1,2,3,4,11181402,14,0,0,1
5,2194,3,2,5,1,0,3,3,4,17729823,6,1,0,0
5,1678,2,1,4,1,0,2,2,5,14333356,16,1,0,0
3,702,1,1,2,5,1,1,1,6,8374237,18,0,1,0
2,1067,1,1,3,1,1,1,1,4,8294742,27,0,1,0
3,980,1,1,3,2,1,2,2,4,12344939,25,1,0,0
